                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     1.00000 solar
                                             L    =     0.90000 solar
                                             R    =     1.08572 solar
                                             Teff =  5400.00000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 # zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps  rc_flag  dlnPdlnT
  276  0.547E+09  0.117E+10  0.207E-02  0.345E+27  0.106E+07  0.391E+12  0.275E+02  0.104E+01  0.129E-13  r  4.5
  277  0.547E+09  0.119E+10  0.211E-02  0.345E+27  0.107E+07  0.400E+12  0.280E+02  0.103E+01  0.139E-13  r  4.5
  278  0.546E+09  0.121E+10  0.215E-02  0.345E+27  0.107E+07  0.410E+12  0.285E+02  0.103E+01  0.149E-13  r  4.5
  279  0.545E+09  0.124E+10  0.219E-02  0.345E+27  0.108E+07  0.419E+12  0.291E+02  0.103E+01  0.160E-13  r  4.5
  280  0.544E+09  0.126E+10  0.223E-02  0.345E+27  0.108E+07  0.429E+12  0.296E+02  0.103E+01  0.172E-13  r  4.5
  281  0.544E+09  0.128E+10  0.227E-02  0.345E+27  0.109E+07  0.439E+12  0.301E+02  0.102E+01  0.185E-13  r  4.5
  282  0.543E+09  0.130E+10  0.231E-02  0.345E+27  0.109E+07  0.450E+12  0.307E+02  0.102E+01  0.198E-13  r  4.5
  283  0.542E+09  0.133E+10  0.236E-02  0.345E+27  0.110E+07  0.460E+12  0.312E+02  0.102E+01  0.213E-13  r  4.5
  284  0.541E+09  0.135E+10  0.240E-02  0.345E+27  0.111E+07  0.471E+12  0.318E+02  0.101E+01  0.228E-13  r  4.5
  285  0.541E+09  0.138E+10  0.244E-02  0.345E+27  0.111E+07  0.482E+12  0.324E+02  0.101E+01  0.245E-13  r  4.5
  286  0.540E+09  0.140E+10  0.249E-02  0.345E+27  0.112E+07  0.493E+12  0.330E+02  0.101E+01  0.262E-13  r  4.5
  287  0.539E+09  0.143E+10  0.254E-02  0.345E+27  0.112E+07  0.505E+12  0.336E+02  0.101E+01  0.281E-13  r  4.5
  288  0.538E+09  0.145E+10  0.258E-02  0.345E+27  0.113E+07  0.516E+12  0.342E+02  0.100E+01  0.301E-13  r  4.5
  289  0.538E+09  0.148E+10  0.263E-02  0.345E+27  0.113E+07  0.528E+12  0.348E+02  0.100E+01  0.323E-13  r  4.5
  290  0.537E+09  0.151E+10  0.268E-02  0.345E+27  0.114E+07  0.540E+12  0.354E+02  0.998E+00  0.346E-13  r  4.5
  291  0.536E+09  0.153E+10  0.273E-02  0.345E+27  0.114E+07  0.553E+12  0.360E+02  0.995E+00  0.370E-13  r  4.5
  292  0.535E+09  0.156E+10  0.278E-02  0.345E+27  0.115E+07  0.566E+12  0.367E+02  0.993E+00  0.397E-13  r  4.5
  293  0.535E+09  0.159E+10  0.283E-02  0.345E+27  0.116E+07  0.579E+12  0.373E+02  0.990E+00  0.425E-13  r  4.5
  294  0.534E+09  0.162E+10  0.288E-02  0.345E+27  0.116E+07  0.592E+12  0.380E+02  0.987E+00  0.454E-13  r  4.5
  295  0.533E+09  0.164E+10  0.293E-02  0.345E+27  0.117E+07  0.605E+12  0.387E+02  0.985E+00  0.486E-13  r  4.5
  296  0.532E+09  0.167E+10  0.298E-02  0.345E+27  0.117E+07  0.619E+12  0.394E+02  0.982E+00  0.520E-13  r  4.5
  297  0.532E+09  0.170E+10  0.304E-02  0.345E+27  0.118E+07  0.633E+12  0.401E+02  0.979E+00  0.556E-13  r  4.5
  298  0.531E+09  0.173E+10  0.309E-02  0.345E+27  0.119E+07  0.648E+12  0.408E+02  0.977E+00  0.594E-13  r  4.5
  299  0.530E+09  0.176E+10  0.315E-02  0.345E+27  0.119E+07  0.662E+12  0.415E+02  0.974E+00  0.635E-13  r  4.5
  300  0.529E+09  0.179E+10  0.320E-02  0.345E+27  0.120E+07  0.677E+12  0.422E+02  0.972E+00  0.679E-13  r  4.5
  301  0.529E+09  0.182E+10  0.326E-02  0.345E+27  0.120E+07  0.692E+12  0.430E+02  0.969E+00  0.725E-13  r  4.5
  302  0.528E+09  0.186E+10  0.332E-02  0.345E+27  0.121E+07  0.708E+12  0.437E+02  0.966E+00  0.775E-13  r  4.5
  303  0.527E+09  0.189E+10  0.337E-02  0.345E+27  0.121E+07  0.724E+12  0.445E+02  0.964E+00  0.827E-13  r  4.5
  304  0.526E+09  0.192E+10  0.343E-02  0.345E+27  0.122E+07  0.740E+12  0.452E+02  0.961E+00  0.883E-13  r  4.5
  305  0.526E+09  0.195E+10  0.349E-02  0.345E+27  0.123E+07  0.757E+12  0.460E+02  0.959E+00  0.943E-13  r  4.5
  306  0.525E+09  0.199E+10  0.355E-02  0.345E+27  0.123E+07  0.773E+12  0.468E+02  0.956E+00  0.101E-12  r  4.5
  307  0.524E+09  0.202E+10  0.362E-02  0.345E+27  0.124E+07  0.791E+12  0.476E+02  0.954E+00  0.107E-12  r  4.5
  308  0.523E+09  0.206E+10  0.368E-02  0.345E+27  0.124E+07  0.808E+12  0.485E+02  0.951E+00  0.115E-12  r  4.5
  309  0.523E+09  0.209E+10  0.374E-02  0.345E+27  0.125E+07  0.826E+12  0.493E+02  0.949E+00  0.122E-12  r  4.5
  310  0.522E+09  0.213E+10  0.381E-02  0.345E+27  0.126E+07  0.844E+12  0.501E+02  0.946E+00  0.130E-12  r  4.5
  311  0.521E+09  0.216E+10  0.387E-02  0.345E+27  0.126E+07  0.863E+12  0.510E+02  0.944E+00  0.139E-12  r  4.5
  312  0.520E+09  0.220E+10  0.394E-02  0.345E+27  0.127E+07  0.882E+12  0.519E+02  0.941E+00  0.148E-12  r  4.5
  313  0.520E+09  0.224E+10  0.401E-02  0.345E+27  0.127E+07  0.901E+12  0.528E+02  0.939E+00  0.158E-12  r  4.5
  314  0.519E+09  0.227E+10  0.407E-02  0.345E+27  0.128E+07  0.921E+12  0.537E+02  0.937E+00  0.168E-12  r  4.5
  315  0.518E+09  0.231E+10  0.414E-02  0.345E+27  0.129E+07  0.941E+12  0.546E+02  0.934E+00  0.179E-12  r  4.5
  316  0.517E+09  0.235E+10  0.421E-02  0.345E+27  0.129E+07  0.962E+12  0.555E+02  0.932E+00  0.191E-12  r  4.5
  317  0.517E+09  0.239E+10  0.429E-02  0.345E+27  0.130E+07  0.983E+12  0.564E+02  0.929E+00  0.203E-12  r  4.5
  318  0.516E+09  0.243E+10  0.436E-02  0.345E+27  0.131E+07  0.100E+13  0.574E+02  0.927E+00  0.216E-12  r  4.5
  319  0.515E+09  0.247E+10  0.443E-02  0.345E+27  0.131E+07  0.103E+13  0.584E+02  0.925E+00  0.230E-12  r  4.5
  320  0.514E+09  0.251E+10  0.450E-02  0.345E+27  0.132E+07  0.105E+13  0.594E+02  0.922E+00  0.245E-12  r  4.5
  321  0.513E+09  0.255E+10  0.458E-02  0.345E+27  0.132E+07  0.107E+13  0.604E+02  0.920E+00  0.261E-12  r  4.5
  322  0.513E+09  0.260E+10  0.466E-02  0.345E+27  0.133E+07  0.109E+13  0.614E+02  0.918E+00  0.277E-12  r  4.5
  323  0.512E+09  0.264E+10  0.473E-02  0.345E+27  0.134E+07  0.112E+13  0.624E+02  0.915E+00  0.295E-12  r  4.5
  324  0.511E+09  0.268E+10  0.481E-02  0.345E+27  0.134E+07  0.114E+13  0.634E+02  0.913E+00  0.314E-12  r  4.5
  325  0.510E+09  0.273E+10  0.489E-02  0.345E+27  0.135E+07  0.117E+13  0.645E+02  0.911E+00  0.333E-12  r  4.5
  326  0.510E+09  0.277E+10  0.497E-02  0.345E+27  0.136E+07  0.119E+13  0.656E+02  0.908E+00  0.355E-12  r  4.5
  327  0.509E+09  0.282E+10  0.505E-02  0.345E+27  0.136E+07  0.122E+13  0.667E+02  0.906E+00  0.377E-12  r  4.5
  328  0.508E+09  0.286E+10  0.514E-02  0.345E+27  0.137E+07  0.124E+13  0.678E+02  0.904E+00  0.400E-12  r  4.5
  329  0.507E+09  0.291E+10  0.522E-02  0.345E+27  0.137E+07  0.127E+13  0.689E+02  0.902E+00  0.425E-12  r  4.5
  330  0.507E+09  0.296E+10  0.530E-02  0.345E+27  0.138E+07  0.130E+13  0.700E+02  0.899E+00  0.452E-12  r  4.5
  331  0.506E+09  0.300E+10  0.539E-02  0.345E+27  0.139E+07  0.132E+13  0.712E+02  0.897E+00  0.480E-12  r  4.5
  332  0.505E+09  0.305E+10  0.548E-02  0.345E+27  0.139E+07  0.135E+13  0.724E+02  0.895E+00  0.510E-12  r  4.5
  333  0.504E+09  0.310E+10  0.557E-02  0.345E+27  0.140E+07  0.138E+13  0.736E+02  0.893E+00  0.541E-12  r  4.5
  334  0.504E+09  0.315E+10  0.566E-02  0.345E+27  0.141E+07  0.141E+13  0.748E+02  0.890E+00  0.575E-12  r  4.5
  335  0.503E+09  0.320E+10  0.575E-02  0.345E+27  0.141E+07  0.144E+13  0.760E+02  0.888E+00  0.610E-12  r  4.5
  336  0.502E+09  0.325E+10  0.584E-02  0.345E+27  0.142E+07  0.147E+13  0.772E+02  0.886E+00  0.647E-12  r  4.5
  337  0.501E+09  0.331E+10  0.593E-02  0.345E+27  0.143E+07  0.150E+13  0.785E+02  0.884E+00  0.687E-12  r  4.5
  338  0.501E+09  0.336E+10  0.603E-02  0.345E+27  0.143E+07  0.153E+13  0.798E+02  0.882E+00  0.728E-12  r  4.5
  339  0.500E+09  0.341E+10  0.612E-02  0.345E+27  0.144E+07  0.156E+13  0.811E+02  0.880E+00  0.773E-12  r  4.5
  340  0.499E+09  0.347E+10  0.622E-02  0.345E+27  0.145E+07  0.160E+13  0.824E+02  0.877E+00  0.819E-12  r  4.5
  341  0.498E+09  0.352E+10  0.632E-02  0.345E+27  0.145E+07  0.163E+13  0.837E+02  0.875E+00  0.869E-12  r  4.5
  342  0.498E+09  0.358E+10  0.642E-02  0.345E+27  0.146E+07  0.166E+13  0.851E+02  0.873E+00  0.921E-12  r  4.5
  343  0.497E+09  0.363E+10  0.652E-02  0.345E+27  0.147E+07  0.170E+13  0.865E+02  0.871E+00  0.976E-12  r  4.5
  344  0.496E+09  0.369E+10  0.662E-02  0.345E+27  0.147E+07  0.173E+13  0.879E+02  0.869E+00  0.103E-11  r  4.5
  345  0.495E+09  0.375E+10  0.672E-02  0.345E+27  0.148E+07  0.177E+13  0.893E+02  0.867E+00  0.110E-11  r  4.5
  346  0.495E+09  0.381E+10  0.683E-02  0.345E+27  0.149E+07  0.181E+13  0.907E+02  0.865E+00  0.116E-11  r  4.5
  347  0.494E+09  0.387E+10  0.693E-02  0.345E+27  0.149E+07  0.184E+13  0.922E+02  0.863E+00  0.123E-11  r  4.5
  348  0.493E+09  0.393E+10  0.704E-02  0.345E+27  0.150E+07  0.188E+13  0.937E+02  0.861E+00  0.130E-11  r  4.5
  349  0.492E+09  0.399E+10  0.715E-02  0.345E+27  0.151E+07  0.192E+13  0.952E+02  0.858E+00  0.138E-11  r  4.5
  350  0.492E+09  0.405E+10  0.726E-02  0.345E+27  0.151E+07  0.196E+13  0.967E+02  0.856E+00  0.146E-11  r  4.5
  351  0.491E+09  0.411E+10  0.737E-02  0.345E+27  0.152E+07  0.200E+13  0.983E+02  0.854E+00  0.155E-11  r  4.5
  352  0.490E+09  0.418E+10  0.749E-02  0.345E+27  0.153E+07  0.204E+13  0.998E+02  0.852E+00  0.164E-11  r  4.5
  353  0.489E+09  0.424E+10  0.760E-02  0.345E+27  0.153E+07  0.208E+13  0.101E+03  0.850E+00  0.173E-11  r  4.5
  354  0.489E+09  0.431E+10  0.772E-02  0.345E+27  0.154E+07  0.213E+13  0.103E+03  0.848E+00  0.183E-11  r  4.5
  355  0.488E+09  0.437E+10  0.784E-02  0.345E+27  0.155E+07  0.217E+13  0.105E+03  0.846E+00  0.194E-11  r  4.5
  356  0.487E+09  0.444E+10  0.796E-02  0.345E+27  0.155E+07  0.221E+13  0.106E+03  0.844E+00  0.205E-11  r  4.5
  357  0.486E+09  0.451E+10  0.808E-02  0.345E+27  0.156E+07  0.226E+13  0.108E+03  0.842E+00  0.217E-11  r  4.5
  358  0.486E+09  0.458E+10  0.820E-02  0.345E+27  0.157E+07  0.231E+13  0.110E+03  0.840E+00  0.230E-11  r  4.5
  359  0.485E+09  0.465E+10  0.832E-02  0.345E+27  0.158E+07  0.235E+13  0.111E+03  0.838E+00  0.243E-11  r  4.5
  360  0.484E+09  0.472E+10  0.845E-02  0.345E+27  0.158E+07  0.240E+13  0.113E+03  0.836E+00  0.257E-11  r  4.5
  361  0.483E+09  0.479E+10  0.857E-02  0.345E+27  0.159E+07  0.245E+13  0.115E+03  0.834E+00  0.271E-11  r  4.5
  362  0.483E+09  0.487E+10  0.870E-02  0.345E+27  0.160E+07  0.250E+13  0.117E+03  0.832E+00  0.287E-11  r  4.5
  363  0.482E+09  0.494E+10  0.883E-02  0.345E+27  0.160E+07  0.255E+13  0.119E+03  0.830E+00  0.303E-11  r  4.5
  364  0.481E+09  0.501E+10  0.896E-02  0.345E+27  0.161E+07  0.260E+13  0.120E+03  0.828E+00  0.320E-11  r  4.5
  365  0.480E+09  0.509E+10  0.910E-02  0.345E+27  0.162E+07  0.265E+13  0.122E+03  0.826E+00  0.339E-11  r  4.5
  366  0.480E+09  0.517E+10  0.923E-02  0.345E+27  0.162E+07  0.271E+13  0.124E+03  0.824E+00  0.358E-11  r  4.5
  367  0.479E+09  0.524E+10  0.937E-02  0.345E+27  0.163E+07  0.276E+13  0.126E+03  0.822E+00  0.378E-11  r  4.5
  368  0.478E+09  0.532E+10  0.951E-02  0.345E+27  0.164E+07  0.282E+13  0.128E+03  0.821E+00  0.399E-11  r  4.5
  369  0.477E+09  0.540E+10  0.965E-02  0.345E+27  0.165E+07  0.287E+13  0.130E+03  0.819E+00  0.421E-11  r  4.5
  370  0.476E+09  0.548E+10  0.979E-02  0.345E+27  0.165E+07  0.293E+13  0.132E+03  0.817E+00  0.445E-11  r  4.5
  371  0.476E+09  0.557E+10  0.993E-02  0.345E+27  0.166E+07  0.299E+13  0.134E+03  0.815E+00  0.470E-11  r  4.5
  372  0.475E+09  0.565E+10  0.101E-01  0.345E+27  0.167E+07  0.305E+13  0.136E+03  0.813E+00  0.496E-11  r  4.5
  373  0.467E+09  0.655E+10  0.116E-01  0.345E+27  0.174E+07  0.373E+13  0.160E+03  0.793E+00  0.861E-11  r  4.5
  374  0.460E+09  0.757E+10  0.133E-01  0.345E+27  0.182E+07  0.455E+13  0.186E+03  0.775E+00  0.147E-10  r  4.5
  375  0.452E+09  0.873E+10  0.152E-01  0.345E+27  0.190E+07  0.554E+13  0.217E+03  0.757E+00  0.248E-10  r  4.5
  376  0.445E+09  0.101E+11  0.174E-01  0.345E+27  0.199E+07  0.672E+13  0.252E+03  0.740E+00  0.414E-10  r  4.5
  377  0.437E+09  0.116E+11  0.199E-01  0.345E+27  0.207E+07  0.815E+13  0.293E+03  0.723E+00  0.684E-10  r  4.5
  378  0.430E+09  0.133E+11  0.226E-01  0.345E+27  0.216E+07  0.986E+13  0.340E+03  0.707E+00  0.112E-09  r  4.5
  379  0.422E+09  0.152E+11  0.256E-01  0.345E+27  0.226E+07  0.119E+14  0.394E+03  0.691E+00  0.182E-09  r  4.5
  380  0.415E+09  0.174E+11  0.291E-01  0.345E+27  0.235E+07  0.144E+14  0.455E+03  0.676E+00  0.292E-09  r  4.5
  381  0.407E+09  0.199E+11  0.329E-01  0.345E+27  0.245E+07  0.173E+14  0.526E+03  0.661E+00  0.465E-09  r  4.4
  382  0.399E+09  0.227E+11  0.371E-01  0.345E+27  0.256E+07  0.208E+14  0.607E+03  0.647E+00  0.735E-09  r  4.4
  383  0.392E+09  0.258E+11  0.418E-01  0.345E+27  0.266E+07  0.250E+14  0.699E+03  0.633E+00  0.115E-08  r  4.4
  384  0.384E+09  0.294E+11  0.469E-01  0.345E+27  0.277E+07  0.299E+14  0.805E+03  0.619E+00  0.180E-08  r  4.4
  385  0.377E+09  0.334E+11  0.527E-01  0.345E+27  0.289E+07  0.358E+14  0.926E+03  0.606E+00  0.278E-08  r  4.4
  386  0.369E+09  0.379E+11  0.590E-01  0.345E+27  0.301E+07  0.429E+14  0.106E+04  0.592E+00  0.428E-08  r  4.4
  387  0.362E+09  0.429E+11  0.660E-01  0.345E+27  0.313E+07  0.512E+14  0.122E+04  0.579E+00  0.654E-08  r  4.4
  388  0.354E+09  0.486E+11  0.736E-01  0.345E+27  0.326E+07  0.612E+14  0.140E+04  0.566E+00  0.994E-08  r  4.4
  389  0.347E+09  0.549E+11  0.821E-01  0.345E+27  0.339E+07  0.730E+14  0.161E+04  0.554E+00  0.150E-07  r  4.4
  390  0.339E+09  0.621E+11  0.913E-01  0.345E+27  0.353E+07  0.870E+14  0.184E+04  0.541E+00  0.226E-07  r  4.4
  391  0.331E+09  0.700E+11  0.101E+00  0.345E+27  0.368E+07  0.104E+15  0.210E+04  0.529E+00  0.338E-07  r  4.4
  392  0.324E+09  0.789E+11  0.112E+00  0.345E+27  0.383E+07  0.123E+15  0.241E+04  0.517E+00  0.503E-07  r  4.3
  393  0.316E+09  0.889E+11  0.124E+00  0.345E+27  0.398E+07  0.147E+15  0.275E+04  0.505E+00  0.744E-07  r  4.3
  394  0.309E+09  0.100E+12  0.137E+00  0.345E+27  0.414E+07  0.174E+15  0.314E+04  0.493E+00  0.110E-06  r  4.3
  395  0.301E+09  0.112E+12  0.152E+00  0.345E+27  0.431E+07  0.207E+15  0.358E+04  0.481E+00  0.161E-06  r  4.3
  396  0.294E+09  0.126E+12  0.167E+00  0.345E+27  0.449E+07  0.245E+15  0.408E+04  0.470E+00  0.235E-06  r  4.3
  397  0.286E+09  0.141E+12  0.183E+00  0.345E+27  0.467E+07  0.290E+15  0.464E+04  0.458E+00  0.341E-06  r  4.2
  398  0.279E+09  0.158E+12  0.201E+00  0.345E+27  0.486E+07  0.343E+15  0.528E+04  0.446E+00  0.493E-06  r  4.2
  399  0.271E+09  0.177E+12  0.220E+00  0.345E+27  0.505E+07  0.406E+15  0.599E+04  0.435E+00  0.709E-06  r  4.2
  400  0.264E+09  0.198E+12  0.241E+00  0.345E+27  0.525E+07  0.479E+15  0.680E+04  0.423E+00  0.102E-05  r  4.2
  401  0.256E+09  0.220E+12  0.263E+00  0.345E+27  0.547E+07  0.564E+15  0.770E+04  0.411E+00  0.145E-05  r  4.1
  402  0.248E+09  0.246E+12  0.286E+00  0.345E+27  0.569E+07  0.664E+15  0.871E+04  0.400E+00  0.205E-05  r  4.1
  403  0.241E+09  0.273E+12  0.311E+00  0.345E+27  0.591E+07  0.780E+15  0.984E+04  0.388E+00  0.289E-05  r  4.1
  404  0.233E+09  0.303E+12  0.337E+00  0.345E+27  0.615E+07  0.914E+15  0.111E+05  0.377E+00  0.405E-05  r  4.0
  405  0.226E+09  0.336E+12  0.365E+00  0.345E+27  0.640E+07  0.107E+16  0.125E+05  0.365E+00  0.565E-05  r  4.0
  406  0.218E+09  0.372E+12  0.394E+00  0.344E+27  0.665E+07  0.125E+16  0.140E+05  0.353E+00  0.783E-05  r  3.9
  407  0.211E+09  0.411E+12  0.424E+00  0.344E+27  0.692E+07  0.145E+16  0.157E+05  0.342E+00  0.108E-04  r  3.9
  408  0.203E+09  0.453E+12  0.456E+00  0.343E+27  0.719E+07  0.169E+16  0.175E+05  0.330E+00  0.148E-04  r  3.8
  409  0.196E+09  0.499E+12  0.488E+00  0.342E+27  0.747E+07  0.195E+16  0.195E+05  0.318E+00  0.201E-04  r  3.8
  410  0.188E+09  0.547E+12  0.522E+00  0.340E+27  0.776E+07  0.226E+16  0.217E+05  0.307E+00  0.271E-04  r  3.7
  411  0.180E+09  0.599E+12  0.556E+00  0.338E+27  0.806E+07  0.259E+16  0.240E+05  0.295E+00  0.363E-04  r  3.7
  412  0.173E+09  0.654E+12  0.590E+00  0.335E+27  0.837E+07  0.297E+16  0.265E+05  0.284E+00  0.483E-04  r  3.6
  413  0.165E+09  0.713E+12  0.625E+00  0.331E+27  0.869E+07  0.339E+16  0.291E+05  0.272E+00  0.637E-04  r  3.5
  414  0.158E+09  0.774E+12  0.659E+00  0.326E+27  0.901E+07  0.385E+16  0.319E+05  0.261E+00  0.832E-04  r  3.5
  415  0.150E+09  0.838E+12  0.693E+00  0.320E+27  0.934E+07  0.436E+16  0.348E+05  0.250E+00  0.108E-03  r  3.4
  416  0.143E+09  0.905E+12  0.727E+00  0.312E+27  0.968E+07  0.490E+16  0.378E+05  0.239E+00  0.138E-03  r  3.3
  417  0.135E+09  0.975E+12  0.759E+00  0.302E+27  0.100E+08  0.549E+16  0.409E+05  0.229E+00  0.176E-03  r  3.3
  418  0.128E+09  0.105E+13  0.790E+00  0.290E+27  0.104E+08  0.611E+16  0.440E+05  0.219E+00  0.222E-03  r  3.2
  419  0.120E+09  0.112E+13  0.820E+00  0.275E+27  0.107E+08  0.677E+16  0.472E+05  0.209E+00  0.276E-03  r  3.1
  420  0.113E+09  0.120E+13  0.847E+00  0.258E+27  0.111E+08  0.746E+16  0.504E+05  0.200E+00  0.341E-03  r  3.0
  421  0.105E+09  0.127E+13  0.873E+00  0.239E+27  0.114E+08  0.817E+16  0.535E+05  0.191E+00  0.416E-03  r  3.0
  422  0.974E+08  0.135E+13  0.896E+00  0.218E+27  0.117E+08  0.890E+16  0.565E+05  0.183E+00  0.502E-03  r  2.9
  423  0.899E+08  0.143E+13  0.916E+00  0.196E+27  0.121E+08  0.963E+16  0.595E+05  0.175E+00  0.600E-03  r  2.8
  424  0.823E+08  0.151E+13  0.934E+00  0.173E+27  0.124E+08  0.104E+17  0.623E+05  0.167E+00  0.710E-03  r  2.7
  425  0.748E+08  0.159E+13  0.949E+00  0.149E+27  0.128E+08  0.111E+17  0.650E+05  0.160E+00  0.833E-03  r  2.6
  426  0.672E+08  0.166E+13  0.962E+00  0.127E+27  0.131E+08  0.118E+17  0.675E+05  0.153E+00  0.969E-03  r  2.5
  427  0.597E+08  0.174E+13  0.972E+00  0.105E+27  0.134E+08  0.125E+17  0.699E+05  0.147E+00  0.112E-02  c  2.4
  428  0.521E+08  0.182E+13  0.980E+00  0.865E+26  0.137E+08  0.133E+17  0.721E+05  0.141E+00  0.129E-02  c  2.3
  429  0.446E+08  0.189E+13  0.986E+00  0.707E+26  0.140E+08  0.140E+17  0.743E+05  0.135E+00  0.148E-02  c  2.1
  430  0.370E+08  0.197E+13  0.990E+00  0.582E+26  0.144E+08  0.148E+17  0.766E+05  0.128E+00  0.172E-02  c  2.0
  431  0.294E+08  0.204E+13  0.992E+00  0.491E+26  0.148E+08  0.159E+17  0.794E+05  0.121E+00  0.208E-02  c  1.9
  432  0.219E+08  0.212E+13  0.994E+00  0.432E+26  0.155E+08  0.176E+17  0.840E+05  0.112E+00  0.277E-02  c  2.0
  433  0.143E+08  0.219E+13  0.994E+00  0.398E+26  0.174E+08  0.232E+17  0.977E+05  0.979E-01  0.569E-02  c  2.4
  434  0.680E+07  0.227E+13  0.994E+00 -0.127E+28  0.797E+08  0.510E+18  0.259E+06  0.455E-01  0.501E+03  c  2.0
  435  0.000E+00  0.124E+16  0.994E+00 -0.127E+28  0.858E+07  0.979E+18  0.852E+07  0.428E+02 -0.113E+00  c -0.4
